review,sentiment
"Five stars! Quick service, generous portions, and the steak tasted incredible.",positive
Extremely disappointed. The chickpea bowl lacked any flavor and was ridiculously expensive for small portions.,negative
Wonderful ambiance and mouth-watering biryani. The waiter was friendly and recommended the best special.,positive
"Bland food, long wait times, and careless service. Will never return to this restaurant.",negative
"Five stars! Quick service, generous portions, and the salad tasted incredible.",positive
Extremely disappointed. The sushi lacked any flavor and was ridiculously expensive for small portions.,negative
Top notch food and exceptional customer service! The salmon was mouth-watering and worth every single penny.,positive
Extremely disappointed. The pasta lacked any flavor and was ridiculously expensive for small portions.,negative
"Best restaurant in town! Clean environment, friendly staff, and the sushi was divine.",positive
Horrible food and extremely slow service. The waiter was rude and the salmon was undercooked.,negative
"Best restaurant in town! Clean environment, friendly staff, and the burger was divine.",positive
Very poor dining experience. Waited 45 minutes just for cold pizza and the manager did not care at all.,negative
"Superb experience. Friendly staff, cozy lighting, and delicious curry. Highly recommended!",positive
Bad service and unhygienic conditions. Found a hair in my pizza and they refused to refund.,negative
"Superb experience. Friendly staff, cozy lighting, and delicious noodle. Highly recommended!",positive
"Worst restaurant I have ever visited. Overpriced noodle, dirty tables, and awful customer service.",negative
"Five stars! Quick service, generous portions, and the steak tasted incredible.",positive
Bad service and unhygienic conditions. Found a hair in my pasta and they refused to refund.,negative
Wonderful ambiance and mouth-watering pasta. The waiter was friendly and recommended the best special.,positive
"Unfriendly staff, noisy environment, and the sushi was greasy and unappetizing.",negative
Extremely impressed with the hygiene and taste. The biryani was cooked wonderfully.,positive
Horrible food and extremely slow service. The waiter was rude and the steak was undercooked.,negative
Extremely impressed with the hygiene and taste. The noodle was cooked wonderfully.,positive
Horrible food and extremely slow service. The waiter was rude and the soup was undercooked.,negative
Extremely impressed with the hygiene and taste. The soup was cooked wonderfully.,positive
Very poor dining experience. Waited 45 minutes just for cold burger and the manager did not care at all.,negative
Top notch food and exceptional customer service! The noodle was mouth-watering and worth every single penny.,positive
"Unfriendly staff, noisy environment, and the noodle was greasy and unappetizing.",negative
Loved everything about this place. The sea bass was outstanding and the dessert was spectacular.,positive
"Worst restaurant I have ever visited. Overpriced risotto, dirty tables, and awful customer service.",negative
The food here was absolutely delicious! The steak was cooked to perfection and the staff was extremely polite and attentive.,positive
Horrible food and extremely slow service. The waiter was rude and the salmon was undercooked.,negative
Top notch food and exceptional customer service! The burger was mouth-watering and worth every single penny.,positive
"Total waste of money. The curry was burnt and dry, and the staff was completely unhelpful.",negative
"Superb experience. Friendly staff, cozy lighting, and delicious steak. Highly recommended!",positive
"Total waste of money. The chickpea bowl was burnt and dry, and the staff was completely unhelpful.",negative
"Amazing restaurant! Great atmosphere, incredible soup, and fast service. Will definitely come back again with family.",positive
Horrible food and extremely slow service. The waiter was rude and the soup was undercooked.,negative
Top notch food and exceptional customer service! The risotto was mouth-watering and worth every single penny.,positive
Extremely disappointed. The risotto lacked any flavor and was ridiculously expensive for small portions.,negative
"Five stars! Quick service, generous portions, and the noodle tasted incredible.",positive
Bad service and unhygienic conditions. Found a hair in my risotto and they refused to refund.,negative
Loved everything about this place. The sushi was outstanding and the dessert was spectacular.,positive
Horrible food and extremely slow service. The waiter was rude and the sea bass was undercooked.,negative
Wonderful ambiance and mouth-watering salmon. The waiter was friendly and recommended the best special.,positive
"Bland food, long wait times, and careless service. Will never return to this restaurant.",negative
Extremely impressed with the hygiene and taste. The chickpea bowl was cooked wonderfully.,positive
"Terrible experience. The tacos was cold, bland, and completely tasteless. Very disappointed with the service.",negative
"Five stars! Quick service, generous portions, and the tacos tasted incredible.",positive
Extremely disappointed. The pizza lacked any flavor and was ridiculously expensive for small portions.,negative
Loved everything about this place. The salmon was outstanding and the dessert was spectacular.,positive
"Worst restaurant I have ever visited. Overpriced pizza, dirty tables, and awful customer service.",negative
Loved everything about this place. The pasta was outstanding and the dessert was spectacular.,positive
"Worst restaurant I have ever visited. Overpriced pizza, dirty tables, and awful customer service.",negative
Wonderful ambiance and mouth-watering soup. The waiter was friendly and recommended the best special.,positive
"Unfriendly staff, noisy environment, and the soup was greasy and unappetizing.",negative
Extremely impressed with the hygiene and taste. The noodle was cooked wonderfully.,positive
"Unfriendly staff, noisy environment, and the tacos was greasy and unappetizing.",negative
Loved everything about this place. The noodle was outstanding and the dessert was spectacular.,positive
Horrible food and extremely slow service. The waiter was rude and the pizza was undercooked.,negative
"Five stars! Quick service, generous portions, and the biryani tasted incredible.",positive
Extremely disappointed. The sushi lacked any flavor and was ridiculously expensive for small portions.,negative
"I had a fantastic dining experience. The noodle was full of flavor, fresh, and served hot. High quality ingredients!",positive
Extremely disappointed. The curry lacked any flavor and was ridiculously expensive for small portions.,negative
"I had a fantastic dining experience. The pizza was full of flavor, fresh, and served hot. High quality ingredients!",positive
"Worst restaurant I have ever visited. Overpriced sushi, dirty tables, and awful customer service.",negative
"I had a fantastic dining experience. The pizza was full of flavor, fresh, and served hot. High quality ingredients!",positive
Very poor dining experience. Waited 45 minutes just for cold soup and the manager did not care at all.,negative
"Five stars! Quick service, generous portions, and the sea bass tasted incredible.",positive
"Unfriendly staff, noisy environment, and the salad was greasy and unappetizing.",negative
Extremely impressed with the hygiene and taste. The sea bass was cooked wonderfully.,positive
"Bland food, long wait times, and careless service. Will never return to this restaurant.",negative
"I had a fantastic dining experience. The sea bass was full of flavor, fresh, and served hot. High quality ingredients!",positive
"Unfriendly staff, noisy environment, and the pizza was greasy and unappetizing.",negative
Top notch food and exceptional customer service! The chickpea bowl was mouth-watering and worth every single penny.,positive
Disgusting quality! The risotto tasted stale and gave me a stomach ache. Avoid this place at all costs.,negative
Wonderful ambiance and mouth-watering biryani. The waiter was friendly and recommended the best special.,positive
"Unfriendly staff, noisy environment, and the chickpea bowl was greasy and unappetizing.",negative
Top notch food and exceptional customer service! The chickpea bowl was mouth-watering and worth every single penny.,positive
"Unfriendly staff, noisy environment, and the salad was greasy and unappetizing.",negative
"I had a fantastic dining experience. The curry was full of flavor, fresh, and served hot. High quality ingredients!",positive
Horrible food and extremely slow service. The waiter was rude and the soup was undercooked.,negative
Extremely impressed with the hygiene and taste. The sushi was cooked wonderfully.,positive
"Total waste of money. The noodle was burnt and dry, and the staff was completely unhelpful.",negative
Top notch food and exceptional customer service! The risotto was mouth-watering and worth every single penny.,positive
"Bland food, long wait times, and careless service. Will never return to this restaurant.",negative
Extremely impressed with the hygiene and taste. The biryani was cooked wonderfully.,positive
"Terrible experience. The pizza was cold, bland, and completely tasteless. Very disappointed with the service.",negative
Extremely impressed with the hygiene and taste. The salad was cooked wonderfully.,positive
Bad service and unhygienic conditions. Found a hair in my steak and they refused to refund.,negative
